39.62236389,-82.81881418
39.62226001,-82.81881418
39.62215614,-82.81881418
39.62205226,-82.81881418
39.62194838,-82.81881418
39.6218445,-82.81881418
39.62189644,-82.8189378
39.62200032,-82.8189378
39.6221042,-82.8189378
39.62220807,-82.8189378
39.62231195,-82.8189378
39.62241583,-82.8189378
39.62236389,-82.81906142
39.62226001,-82.81906142
39.62215614,-82.81906142
39.62205226,-82.81906142
39.62194838,-82.81906142
39.6218445,-82.81906142
39.62189644,-82.81918504
39.62200032,-82.81918504
39.6221042,-82.81918504
39.62220807,-82.81918504
39.62231195,-82.81918504
39.62241583,-82.81918504
39.62236389,-82.81930867
39.62226001,-82.81930867
39.62215614,-82.81930867
39.62205226,-82.81930867
39.62194838,-82.81930867
39.6218445,-82.81930867
39.62189644,-82.81943229
39.62200032,-82.81943229
39.6221042,-82.81943229
39.62220807,-82.81943229
39.62231195,-82.81943229
39.62241583,-82.81943229
39.62236389,-82.81955591
39.62226001,-82.81955591
39.62215614,-82.81955591
39.62205226,-82.81955591
39.62194838,-82.81955591
39.6218445,-82.81955591
